border,range,column,plot,Block,Accession,Source,Mother,Father,Kernel Count
,10,15,1015,2,B37 x Mo17 pip1;5,,CMI23FGH-068.21,CMI23FGH-070.10,40k
,10,16,1016,2,B37 x Mo17 pip1;5,,CMI23FGH-068.21,CMI23FGH-070.10,40k
,10,17,1017,2,B37 x Mo17 pip1;5,,CMI23FGH-068.21,CMI23FGH-070.10,40k
,10,18,1018,2,B37 x Mo17 pip1;5,,CMI23FGH-068.21,CMI23FGH-070.10,40k
,10,19,1019,5,B37 x Oh43 pip1;5,,CMI23FGH-068.32,CMI23FGH-069.13,40k
,10,20,1020,5,B37 x Oh43 pip1;5,,CMI23FGH-068.32,CMI23FGH-069.13,40k
,10,21,1021,5,B37 x Oh43 pip1;5,,CMI23FGH-068.32,CMI23FGH-069.13,40k
,10,22,1022,5,B37 x Oh43 pip1;5,,CMI23FGH-068.42,CMI23FGH-069.13,38k
,10,23,1023,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,10,24,1024,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,11,1,1101,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,11,2,1102,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,11,3,1103,3,B73 x H99,#0034858,B73,H99,40k
,11,4,1104,3,B73 x H99,#0034858,B73,H99,40k
,11,5,1105,3,B73 x H99,#0034858,B73,H99,40k
,11,6,1106,3,B73 x H99,#0034858,B73,H99,40k
,11,7,1107,4,P1151,,P1151,P1151,40k
,11,8,1108,4,P1151,,P1151,P1151,40k
,11,9,1109,4,P1151,,P1151,P1151,40k
,11,10,1110,4,P1151,,P1151,P1151,40k
,11,11,1111,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,11,12,1112,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,11,13,1113,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,11,14,1114,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,11,15,1115,2,B37 x Mo17 WT,,CMI23FGH-065.26,CMI23FGH-067.02,40k
,11,16,1116,2,B37 x Mo17 WT,,CMI23FGH-065.26,CMI23FGH-067.02,40k
,11,17,1117,2,B37 x Mo17 WT,,CMI23FGH-065.26,CMI23FGH-067.02,40k
,11,18,1118,2,B37 x Mo17 WT,,CMI23FGH-065.26,CMI23FGH-067.02,40k
,11,19,1119,5,B37 x Oh43 WT,,CMI23FGH-066.12,CMI23FGH-065.31,40k
,11,20,1120,5,B37 x Oh43 WT,,CMI23FGH-065.16,CMI23FGH-066.02,40k
,11,21,1121,5,B37 x Oh43 WT,,CMI23FGH-065.16,CMI23FGH-066.02,40k
,11,22,1122,5,B37 x Oh43 WT,,CMI23FGH-066.12,CMI23FGH-065.31,40k
,11,23,1123,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,11,24,1124,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,12,1,1201,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,12,2,1202,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,12,3,1203,3,P1151,,P1151,P1151,40k
,12,4,1204,3,P1151,,P1151,P1151,40k
,12,5,1205,3,P1151,,P1151,P1151,40k
,12,6,1206,3,P1151,,P1151,P1151,40k
,12,7,1207,4,B73 x H99 slac1,#0034870,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,12,8,1208,4,B73 x H99 slac1,#0034870,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,12,9,1209,4,B73 x H99 slac1,#0034870,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,12,10,1210,4,B73 x H99 slac1,#0034870,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,12,11,1211,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,12,12,1212,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,12,13,1213,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,12,14,1214,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,12,15,1215,2,B37 x Oh43 pip1;5,,CMI23FGH-068.42,CMI23FGH-069.13,40k
,12,16,1216,2,B37 x Oh43 pip1;5,,CMI23FGH-068.42,CMI23FGH-069.13,40k
,12,17,1217,2,B37 x Oh43 pip1;5,,CMI23FGH-068.42,CMI23FGH-069.13,40k
,12,18,1218,2,B37 x Oh43 pip1;5,,CMI23FGH-068.42,CMI23FGH-069.13,40k
,12,19,1219,5,B37 x Mo17 WT,,CMI23FGH-065.08,CMI23FGH-067.01,40k
,12,20,1220,5,B37 x Mo17 WT,,CMI23FGH-065.08,CMI23FGH-067.01,40k
,12,21,1221,5,B37 x Mo17 WT,,CMI23FGH-065.08,CMI23FGH-067.01,40k
,12,22,1222,5,B37 x Mo17 WT,,CMI23FGH-065.08,CMI23FGH-067.01,40k
,12,23,1223,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,12,24,1224,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,13,1,1301,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,13,2,1302,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,13,3,1303,3,P1197,,P1197,P1197,40K
,13,4,1304,3,P1197,,P1197,P1197,40K
,13,5,1305,3,P1197,,P1197,P1197,40K
,13,6,1306,3,P1197,,P1197,P1197,40K
,13,7,1307,4,B73 x H99,#0034858,B73,H99,40k
,13,8,1308,4,B73 x H99,#0034859,B73,H99,40k
,13,9,1309,4,B73 x H99,#0034859,B73,H99,40k
,13,10,1310,4,B73 x H99,#0034859,B73,H99,40k
,13,11,1311,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,13,12,1312,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,13,13,1313,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,13,14,1314,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,13,15,1315,2,B37 x Oh43 WT,,CMI23FGH-066.12,CMI23FGH-065.31,40k
,13,16,1316,2,B37 x Oh43 WT,,CMI23FGH-065.49,CMI23FGH-066.16,40k
,13,17,1317,2,B37 x Oh43 WT,,CMI23FGH-065.49,CMI23FGH-066.16,40k
,13,18,1318,2,B37 x Oh43 WT,,CMI23FGH-066.16,CMI23FGH-065.16,40k
,13,19,1319,5,B37 x Mo17 pip1;5,,CMI23FGH-068.21,CMI23FGH-070.10,40k
,13,20,1320,5,B37 x Mo17 pip1;5,,CMI23FGH-068.21,CMI23FGH-070.10,40k
,13,21,1321,5,B37 x Mo17 pip1;5,,CMI23FGH-068.21,CMI23FGH-070.10,40k
,13,22,1322,5,B37 x Mo17 pip1;5,68.21 x 70.10 & 68.29 x 70.9,CMI23FGH-068.21 & CMI23FGH-068.29,CMI23FGH-070.10 & CMI23FGH-070.09,39k
,13,23,1323,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,13,24,1324,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,14,1,1401,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,14,2,1402,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,14,3,1403,5,P1197,,P1197,P1197,40K
,14,4,1404,5,P1197,,P1197,P1197,40K
,14,5,1405,5,P1197,,P1197,P1197,40K
,14,6,1406,5,P1197,,P1197,P1197,40K
,14,7,1407,6,B73 x H99,#0034859,B73,H99,40k
,14,8,1408,6,B73 x H99,#0034859,B73,H99,40k
,14,9,1409,6,B73 x H99,#0034859,B73,H99,40k
,14,10,1410,6,B73 x H99,#0034860,B73,H99,40k
,14,11,1411,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,14,12,1412,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,14,13,1413,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,14,14,1414,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,14,15,1415,3,B37 x Oh43 WT,,CMI23FGH-066.02,CMI23FGH-065.27,40k
,14,16,1416,3,B37 x Oh43 WT,,CMI23FGH-066.02,CMI23FGH-065.27,40k
,14,17,1417,3,B37 x Oh43 WT,,CMI23FGH-066.02,CMI23FGH-065.27,40k
,14,18,1418,3,B37 x Oh43 WT,,CMI23FGH-066.02,CMI23FGH-065.27,40k
,14,19,1419,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,14,20,1420,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,14,21,1421,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,14,22,1422,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,14,23,1423,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,14,24,1424,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,15,1,1501,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,15,2,1502,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,15,3,1503,5,B73 x H99,#0034860,B73,H99,40k
,15,4,1504,5,B73 x H99,#0034860,B73,H99,40k
,15,5,1505,5,B73 x H99,#0034860,B73,H99,40k
,15,6,1506,5,B73 x H99,#0034860,B73,H99,40k
,15,7,1507,6,P1197,,P1197,P1197,40K
,15,8,1508,6,P1197,,P1197,P1197,40K
,15,9,1509,6,P1197,,P1197,P1197,40K
,15,10,1510,6,P1197,,P1197,P1197,40K
,15,11,1511,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,15,12,1512,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,15,13,1513,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,15,14,1514,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,15,15,1515,3,B37 x Oh43 pip1;5,,CMI23FGH-068.42,CMI23FGH-069.13,40k
,15,16,1516,3,B37 x Oh43 pip1;5,,CMI23FGH-068.42,CMI23FGH-069.13,40k
,15,17,1517,3,B37 x Oh43 pip1;5,,CMI23FGH-068.42,CMI23FGH-069.13,40k
,15,18,1518,3,B37 x Oh43 pip1;5,,CMI23FGH-068.42,CMI23FGH-069.13,40k
,15,19,1519,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,15,20,1520,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,15,21,1521,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,15,22,1522,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,15,23,1523,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,15,24,1524,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,16,1,1601,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,16,2,1602,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,16,3,1603,5,P1151,,P1151,P1151,40k
,16,4,1604,5,P1151,,P1151,P1151,40k
,16,5,1605,5,P1151,,P1151,P1151,40k
,16,6,1606,5,P1151,,P1151,P1151,40k
,16,7,1607,6,B73 x H99 slac1,#0034870,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,16,8,1608,6,B73 x H99 slac1,#0034870,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,16,9,1609,6,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,16,10,1610,6,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,16,11,1611,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,16,12,1612,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,16,13,1613,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,16,14,1614,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,16,15,1615,3,B37 x Mo17 WT,,CMI23FGH-065.08,CMI23FGH-067.01,40k
,16,16,1616,3,B37 x Mo17 WT,,CMI23FGH-065.02,CMI23FGH-067.03,40k
,16,17,1617,3,B37 x Mo17 WT,,CMI23FGH-065.02,CMI23FGH-067.03,40k
,16,18,1618,3,B37 x Mo17 WT,,CMI23FGH-065.08,CMI23FGH-067.01,40k
,16,19,1619,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,16,20,1620,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,16,21,1621,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,16,22,1622,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,16,23,1623,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,16,24,1624,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,17,1,1701,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,17,2,1702,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,17,3,1703,5,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,17,4,1704,5,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,17,5,1705,5,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,17,6,1706,5,B73 x H99 slac1,#0034871,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,17,7,1707,6,P1151,,P1151,P1151,40k
,17,8,1708,6,P1151,,P1151,P1151,40k
,17,9,1709,6,P1151,,P1151,P1151,40k
,17,10,1710,6,P1151,,P1151,P1151,40k
,17,11,1711,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,17,12,1712,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,17,13,1713,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,17,14,1714,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,17,15,1715,3,B37 x Mo17 pip1;5,,CMI23FGH-068.25,CMI23FGH-070.14,40k
,17,16,1716,3,B37 x Mo17 pip1;5,,CMI23FGH-068.25,CMI23FGH-070.14,40k
,17,17,1717,3,B37 x Mo17 pip1;5,,CMI23FGH-068.25,CMI23FGH-070.14,40k
,17,18,1718,3,B37 x Mo17 pip1;5,68.25 x 70.14 & 68.29 x70.9,CMI23FGH-068.25 & CMI23FGH-068.29,CMI23FGH-070.14 & CMI23FGH-070.09,40k
,17,19,1719,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,17,20,1720,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,17,21,1721,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,17,22,1722,BORDER,BORDER,,DKC111-33,DKC111-33,40k
,17,23,1723,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,17,24,1724,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,1,1801,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,2,1802,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,3,1803,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,4,1804,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,5,1805,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,6,1806,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,7,1807,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,8,1808,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,9,1809,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,10,1810,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,11,1811,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,12,1812,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,18,13,1813,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,14,1814,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,15,1815,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,16,1816,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,17,1817,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,18,1818,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,19,1819,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,20,1820,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,21,1821,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,22,1822,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,23,1823,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,18,24,1824,BORDER,BORDER,,DCK111-33,DCK111-33,40k
